pos	DEL	INS
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	2	0
9	27	4
10	28	7
11	27	10
12	3	7
13	7	12
14	40	10
15	42	13
16	54	20
17	52	17
18	39	18
19	83	16
20	82	14
21	82	15
22	98	12
23	87	10
24	90	4
25	41	10
26	50	14
27	128	21
28	125	16
29	174	14
30	139	26
31	127	40
32	63	40
33	63	29
34	51	17
35	41	19
36	113	25
37	117	38
38	103	51
39	119	46
40	120	49
41	103	44
42	23	31
43	27	30
44	29	21
45	39	20
46	177	18
47	199	18
48	196	31
49	51	23
50	60	40
51	35	38
52	31	35
53	40	24
54	48	30
55	39	29
56	37	37
57	34	34
58	45	31
59	80	25
60	72	18
61	89	22
62	57	31
63	53	33
64	37	27
65	41	12
66	127	18
67	153	21
68	165	21
69	128	11
70	120	14
71	164	12
72	436	11
73	442	17
74	419	17
75	395	18
76	578	11
77	558	10
78	555	4
79	44	4
80	73	4
81	102	5
82	147	7
83	188	11
84	132	17
85	170	20
86	357	21
87	364	20
88	334	14
89	318	9
90	160	12
91	300	12
92	316	13
93	2050	22
94	2059	22
95	2041	21
96	2070	13
97	193	15
98	193	16
99	194	13
100	202	8
101	220	5
102	230	6
103	193	8
104	188	10
105	72	15
106	73	21
107	48	22
108	48	19
109	49	32
110	46	38
111	42	50
112	34	37
113	25	43
114	83	56
115	83	50
116	120	35
117	96	14
118	78	17
119	57	16
120	57	11
121	51	10
122	53	24
123	37	33
124	43	34
125	46	31
126	47	25
127	46	32
128	46	34
129	48	45
130	60	49
131	59	50
132	49	48
133	53	35
134	95	30
135	114	28
136	102	24
137	83	18
138	126	19
139	127	20
140	132	19
141	226	18
142	176	16
143	172	14
144	150	9
145	148	5
146	158	6
147	159	15
148	81	22
149	61	31
150	61	33
151	105	33
152	118	21
153	119	21
154	103	25
155	61	37
156	64	41
157	47	39
158	57	34
159	60	29
160	50	18
161	55	20
162	47	21
163	39	20
164	37	16
165	51	26
166	54	29
167	48	30
168	48	32
169	32	27
170	33	23
171	28	20
172	55	22
173	60	26
174	60	30
175	42	28
176	40	45
177	41	40
178	96	35
179	137	10
180	142	32
181	153	33
182	115	37
183	79	23
184	45	24
185	52	24
186	52	29
187	58	35
188	43	34
189	46	31
190	68	48
191	69	48
192	54	48
193	37	34
194	37	37
195	40	28
196	32	23
197	28	14
198	19	12
199	38	11
200	48	12
201	48	14
202	91	18
203	107	32
204	101	44
205	135	53
206	83	45
207	105	29
208	43	33
209	39	23
210	45	24
211	55	7
212	59	16
213	57	22
214	46	30
215	33	30
216	18	19
217	22	16
218	27	28
219	26	28
220	21	28
221	25	19
222	35	33
223	63	36
224	87	36
225	86	22
226	101	23
227	91	16
228	70	22
229	79	20
230	74	18
231	78	34
232	96	27
233	83	32
234	107	21
235	50	17
236	56	14
237	28	17
238	43	20
239	35	29
240	31	25
241	26	29
242	24	19
243	22	21
244	23	11
245	27	9
246	28	13
