pos	DEL	INS
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	1	0
12	2	0
13	3	0
14	3	0
15	5	1
16	5	1
17	5	2
18	7	2
19	5	2
20	6	2
21	6	2
22	10	1
23	9	0
24	26	0
25	40	0
26	41	2
27	61	4
28	61	4
29	61	4
30	61	6
31	54	10
32	44	11
33	30	11
34	27	12
35	30	13
36	35	13
37	30	19
38	31	22
39	24	24
40	24	24
41	24	24
42	12	23
43	13	20
44	14	17
45	7	13
46	11	14
47	13	13
48	13	14
49	13	12
50	15	20
51	14	25
52	15	23
53	16	22
54	17	21
55	20	20
56	21	14
57	24	9
58	35	7
59	35	6
60	36	4
61	39	5
62	35	6
63	30	6
64	31	5
65	20	3
66	22	4
67	19	6
68	24	6
69	99	6
70	102	6
71	111	6
72	131	5
73	210	4
74	217	3
75	192	3
76	143	2
77	145	3
78	132	3
79	40	5
80	71	6
81	87	6
82	223	8
83	259	8
84	288	8
85	339	7
86	485	6
87	515	6
88	537	5
89	529	6
90	519	6
91	1698	3
92	1633	4
93	1658	5
94	1664	5
95	1673	4
96	1665	5
97	393	6
98	601	3
99	531	2
100	540	3
101	456	5
102	426	4
103	384	3
104	375	4
105	152	6
106	125	8
107	29	7
108	30	6
109	24	9
110	16	9
111	20	10
112	22	10
113	16	13
114	19	20
115	20	17
116	23	17
117	17	15
118	14	14
119	16	12
120	16	8
121	17	6
122	18	13
123	19	13
124	20	13
125	19	15
126	20	16
127	19	18
128	18	13
129	21	16
130	21	21
131	26	22
132	28	24
133	35	26
134	63	26
135	66	23
136	64	19
137	56	15
138	154	14
139	154	11
140	156	8
141	160	8
142	164	8
143	169	7
144	161	7
145	76	7
146	74	10
147	56	10
148	44	10
149	40	11
150	37	11
151	39	16
152	34	17
153	33	19
154	29	17
155	37	19
156	37	19
157	39	15
158	38	16
159	23	12
160	21	9
161	10	7
162	14	8
163	17	9
164	12	9
165	15	6
166	15	6
167	17	8
168	12	7
169	14	8
170	17	9
171	20	8
172	19	9
173	18	11
174	20	11
175	20	9
176	30	9
177	25	8
178	26	8
179	28	7
180	27	13
181	28	15
182	27	19
183	26	17
184	27	17
185	28	16
186	25	16
187	25	14
188	16	13
189	17	15
190	14	19
191	13	20
192	13	22
193	10	23
194	11	24
195	16	24
196	15	20
197	14	19
198	19	17
199	20	15
200	23	14
201	24	15
202	32	11
203	38	10
204	31	15
205	34	18
206	30	20
207	29	19
208	28	21
209	19	21
210	16	18
211	22	12
212	18	10
213	18	11
214	18	11
215	18	10
216	17	8
217	11	9
218	12	9
219	12	8
220	8	7
221	12	9
222	12	11
223	13	12
224	17	12
225	17	14
226	38	17
227	39	15
228	39	12
229	39	10
230	37	11
231	42	17
232	27	15
233	25	15
234	22	14
235	30	16
236	30	13
237	24	10
238	22	8
239	17	5
240	17	6
241	10	7
242	11	7
243	13	7
244	12	7
245	11	6
246	11	6
