pos	DEL	INS
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	1	0
31	1	0
32	1	0
33	1	0
34	1	0
35	1	0
36	1	0
37	3	0
38	4	0
39	4	0
40	4	0
41	3	0
42	3	0
43	3	0
44	3	0
45	3	0
46	4	0
47	4	0
48	7	0
49	12	0
50	12	0
51	12	1
52	11	1
53	10	1
54	10	1
55	11	1
56	12	1
57	13	1
58	13	1
59	13	1
60	12	1
61	10	1
62	8	1
63	8	1
64	8	1
65	8	1
66	6	1
67	8	0
68	7	0
69	10	0
70	10	0
71	10	0
72	10	0
73	9	0
74	9	0
75	8	0
76	8	0
77	8	0
78	8	0
79	7	0
80	9	0
81	14	0
82	34	0
83	35	0
84	38	0
85	40	1
86	41	1
87	42	1
88	42	1
89	42	1
90	42	1
91	43	2
92	42	2
93	43	2
94	45	2
95	42	2
96	41	2
97	39	2
98	39	2
99	38	2
100	38	2
101	38	2
102	38	2
103	37	2
104	35	1
105	34	1
106	33	1
107	8	1
108	8	1
109	6	1
110	5	1
111	5	1
112	4	1
113	3	1
114	3	1
115	3	2
116	3	2
117	6	2
118	6	2
119	6	2
120	7	2
121	7	2
122	6	2
123	6	1
124	6	1
125	7	1
126	7	1
127	7	0
128	7	0
129	6	0
130	6	0
131	5	0
132	6	1
133	6	1
134	7	1
135	7	1
136	6	1
137	6	1
138	6	1
139	8	1
140	9	1
141	9	1
142	9	1
143	7	1
144	7	1
145	6	1
146	5	1
147	5	1
148	5	1
149	4	1
150	2	1
151	2	1
152	2	1
153	2	1
154	2	1
155	2	2
156	2	2
157	2	2
158	3	2
159	4	2
160	4	2
161	5	2
162	5	2
163	6	2
164	6	3
165	6	3
166	6	3
167	6	3
168	6	3
169	6	3
170	6	2
171	5	2
172	6	2
173	6	2
174	5	2
175	5	2
176	5	2
177	3	2
178	4	2
179	5	2
180	5	3
181	3	3
182	3	3
183	4	3
184	4	3
185	4	3
186	5	3
187	5	3
188	5	3
189	5	4
190	3	4
191	2	4
192	3	3
193	3	2
194	3	2
195	3	2
196	3	2
197	2	2
198	2	2
199	2	2
200	2	2
201	2	2
202	2	2
203	2	2
204	2	2
205	3	2
206	3	2
207	3	2
208	2	2
209	2	2
210	2	2
211	3	2
212	3	2
213	3	2
214	4	2
215	4	1
216	4	1
217	4	1
218	4	1
219	3	2
220	3	2
221	4	2
222	5	1
223	5	1
224	5	1
225	5	1
226	5	1
227	5	1
228	5	1
229	5	1
230	5	1
231	5	2
232	5	2
233	6	3
234	5	3
235	5	3
236	4	3
237	4	3
238	4	3
239	4	3
240	4	3
241	4	3
242	3	3
243	3	2
244	3	2
245	2	2
246	2	2
247	2	2
