pos	DEL	INS
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	1	1
9	22	10
10	22	20
11	23	25
12	4	18
13	8	17
14	72	23
15	71	34
16	76	38
17	69	33
18	35	27
19	126	34
20	120	32
21	119	34
22	154	29
23	117	33
24	124	26
25	47	27
26	63	36
27	156	53
28	158	49
29	210	47
30	182	49
31	161	59
32	81	70
33	79	67
34	67	64
35	58	74
36	141	90
37	153	108
38	138	120
39	187	112
40	189	111
41	160	93
42	21	79
43	22	75
44	22	55
45	34	53
46	296	75
47	308	89
48	301	103
49	57	72
50	61	117
51	42	117
52	29	135
53	44	86
54	47	92
55	43	59
56	34	56
57	48	61
58	57	71
59	108	100
60	99	82
61	106	89
62	50	79
63	48	78
64	32	80
65	29	45
66	164	50
67	204	44
68	218	53
69	186	35
70	181	35
71	303	24
72	835	29
73	827	31
74	791	33
75	699	27
76	982	15
77	951	8
78	958	6
79	76	2
80	142	3
81	178	7
82	237	19
83	294	32
84	203	45
85	269	63
86	565	71
87	573	72
88	507	69
89	513	59
90	241	54
91	511	55
92	538	65
93	3460	70
94	3466	67
95	3454	57
96	3510	52
97	307	46
98	305	42
99	302	50
100	314	43
101	421	41
102	413	44
103	354	39
104	339	36
105	137	67
106	124	83
107	76	86
108	53	67
109	52	84
110	41	89
111	32	105
112	32	73
113	26	90
114	93	128
115	92	118
116	152	103
117	121	53
118	112	56
119	64	54
120	58	58
121	62	48
122	68	56
123	42	77
124	54	77
125	48	67
126	44	69
127	47	75
128	39	79
129	37	119
130	41	175
131	42	182
132	34	162
133	53	103
134	124	83
135	156	61
136	142	53
137	122	45
138	161	51
139	156	45
140	158	38
141	347	28
142	308	32
143	294	28
144	235	28
145	215	20
146	209	25
147	209	30
148	75	32
149	55	51
150	64	85
151	152	106
152	151	105
153	173	77
154	116	68
155	91	84
156	97	92
157	88	91
158	76	89
159	80	73
160	58	66
161	67	62
162	53	66
163	44	68
164	43	67
165	59	76
166	63	82
167	59	82
168	57	78
169	35	73
170	37	77
171	31	72
172	66	72
173	68	81
174	70	80
175	47	74
176	43	116
177	54	114
178	169	118
179	233	57
180	237	86
181	234	81
182	159	96
183	83	65
184	31	71
185	36	58
186	37	60
187	46	60
188	37	56
189	38	54
190	64	89
191	59	91
192	58	129
193	42	114
194	35	120
195	48	92
196	50	62
197	44	44
198	36	45
199	49	35
200	55	37
201	49	40
202	128	55
203	150	66
204	151	73
205	219	106
206	142	99
207	157	88
208	47	75
209	39	59
210	28	51
211	44	26
212	48	40
213	48	56
214	31	68
215	27	55
216	18	42
217	18	32
218	22	45
219	23	38
220	21	44
221	27	48
222	52	70
223	70	77
224	94	75
225	89	64
226	120	79
227	106	74
228	95	113
229	112	85
230	105	79
231	106	78
232	125	77
233	109	84
234	135	58
235	60	79
236	67	65
237	31	68
238	49	47
239	39	46
240	34	41
241	17	42
242	9	39
243	14	33
244	15	26
245	25	21
246	29	23
