pos	DEL	INS
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	1	0
14	1	0
15	1	1
16	1	5
17	2	6
18	4	7
19	9	7
20	12	9
21	13	8
22	14	6
23	15	4
24	13	5
25	10	6
26	6	5
27	5	4
28	4	5
29	4	7
30	4	8
31	2	11
32	1	12
33	2	13
34	2	12
35	2	9
36	3	8
37	3	7
38	4	9
39	5	7
40	4	7
41	7	7
42	7	7
43	9	4
44	10	4
45	10	5
46	10	4
47	10	6
48	7	7
49	10	7
50	9	9
51	9	8
52	9	7
53	9	6
54	9	6
55	2	7
56	2	4
57	2	4
58	2	4
59	3	5
60	3	7
61	4	6
62	5	4
63	8	4
64	8	4
65	8	5
66	9	5
67	8	4
68	8	5
69	6	6
70	8	6
71	9	6
72	9	4
73	8	3
74	10	4
75	9	6
76	10	9
77	9	12
78	7	12
79	7	12
80	6	11
81	3	11
82	2	14
83	2	10
84	2	11
85	3	12
86	53	15
87	56	13
88	57	11
89	61	10
90	101	8
91	114	6
92	81	8
93	111	5
94	105	5
95	120	4
96	87	6
97	82	7
98	78	9
99	34	9
100	33	14
101	18	12
102	14	12
103	9	10
104	9	8
105	9	8
106	11	5
107	6	7
108	6	5
109	4	5
110	3	5
111	3	5
112	2	5
113	4	3
114	5	3
115	8	3
116	8	3
117	9	14
118	10	15
119	11	15
120	11	15
121	12	16
122	11	16
123	9	12
124	12	12
125	11	8
126	10	7
127	10	5
128	13	5
129	17	5
130	16	4
131	16	3
132	15	3
133	14	3
134	11	1
135	9	2
136	10	3
137	6	7
138	8	7
139	8	7
140	8	8
141	9	8
142	8	7
143	7	5
144	7	5
145	6	5
146	5	6
147	3	4
148	3	5
149	3	5
150	3	5
151	1	5
152	0	4
153	1	3
154	3	2
155	6	2
156	7	1
157	7	2
158	7	3
159	7	3
160	6	3
161	5	4
162	1	11
163	2	10
164	1	10
165	2	10
166	3	11
167	4	12
168	5	8
169	4	9
170	4	8
171	4	13
172	4	13
173	4	13
174	3	13
175	3	13
176	3	12
177	4	10
178	4	9
179	6	10
180	5	8
181	5	8
182	6	7
183	6	8
184	7	7
185	4	11
186	5	18
187	6	16
188	5	18
189	5	17
190	14	16
191	16	18
192	21	12
193	30	12
194	32	11
195	31	11
196	29	11
197	27	6
198	24	5
199	15	6
200	15	5
201	15	5
202	23	2
203	25	2
204	25	3
205	21	4
206	22	4
207	21	6
208	10	10
209	9	11
210	7	10
211	9	8
212	9	8
213	8	6
214	7	5
215	7	7
216	8	9
217	9	12
218	8	14
219	8	17
220	9	18
221	16	18
222	16	18
223	15	17
224	16	16
225	14	18
226	15	17
227	9	15
228	9	13
229	8	11
230	7	11
231	5	12
232	5	12
233	6	19
234	6	20
235	7	21
236	11	20
237	11	17
238	11	19
239	13	15
240	15	13
241	16	13
242	15	16
243	18	18
244	20	16
245	18	16
246	17	17
247	12	20
