pos	DEL	INS
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	1	0
43	1	0
44	1	0
45	1	0
46	1	0
47	1	0
48	1	0
49	1	0
50	1	0
51	1	0
52	1	0
53	1	0
54	1	0
55	1	0
56	1	0
57	1	0
58	1	0
59	1	0
60	1	0
61	2	0
62	2	0
63	3	0
64	3	0
65	3	0
66	3	0
67	3	0
68	4	0
69	4	0
70	4	0
71	5	0
72	5	0
73	5	0
74	4	0
75	3	0
76	3	0
77	3	0
78	2	0
79	1	0
80	1	0
81	1	1
82	1	1
83	0	1
84	0	1
85	0	1
86	0	1
87	0	1
88	0	1
89	0	1
90	0	1
91	0	1
92	0	0
93	0	0
94	0	0
95	0	0
96	1	0
97	1	0
98	1	1
99	1	1
100	1	1
101	1	1
102	1	1
103	1	1
104	1	1
105	1	1
106	1	1
107	0	1
108	0	1
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	1
125	1	1
126	1	1
127	1	1
128	1	1
129	1	1
130	1	1
131	1	2
132	2	2
133	2	2
134	2	2
135	2	2
136	2	2
137	2	2
138	2	1
139	1	1
140	1	1
141	1	1
142	1	1
143	1	0
144	1	1
145	1	1
146	1	1
147	1	1
148	1	1
149	1	1
150	1	1
151	1	2
152	1	2
153	1	2
154	1	2
155	1	2
156	1	1
157	0	1
158	0	1
159	0	1
160	0	1
161	0	1
162	0	1
163	0	1
164	0	1
165	0	1
166	0	1
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	1	0
174	1	0
175	1	0
176	1	0
177	1	0
178	1	0
179	1	0
180	1	0
181	1	0
182	1	0
183	1	0
184	2	0
185	2	0
186	2	0
187	2	0
188	2	0
189	2	0
190	2	0
191	1	0
192	1	0
193	1	0
194	1	0
195	0	0
196	0	0
197	0	0
198	1	0
199	1	0
200	1	0
201	1	0
202	1	0
203	1	0
204	1	0
205	1	0
206	1	0
207	1	1
208	1	1
209	1	1
210	1	1
211	0	1
212	0	1
213	0	1
214	0	1
215	0	1
216	0	1
217	0	1
218	0	1
219	0	1
220	0	1
221	0	1
222	0	1
223	0	1
224	0	1
225	0	1
226	0	1
227	0	1
228	0	1
229	0	1
230	0	1
231	0	1
232	0	1
233	0	1
234	0	1
235	0	1
236	0	1
237	0	1
238	0	2
239	1	2
240	1	2
241	1	2
242	2	2
243	2	2
244	2	2
245	2	2
246	2	2
247	2	2
